Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date,Age,Customer_Type,City,Region,Bank_Name,Branch_ID,Firm_Revenue,Expenses,Profit_Margin,Year,Month
300000,209689,Business,69339,4794,42580,Fixed Deposit,08-12-2024,68,Individual,Nashik,North,HDFC Bank,1928,339233,477740,65.87,2024,2024-12
300001,206124,Business,12825,3500,46605,Fixed Deposit,09-09-2022,45,Business,Kolhapur,North,HDFC Bank,1132,83336,335733,47.84,2022,2022-09
300002,207501,Current,67753,2401,17027,Fixed Deposit,28-04-2022,62,Employee,Solapur,West,HDFC Bank,1690,833490,416070,50.07,2022,2022-04
300003,208675,Savings,67061,2952,3054,Fixed Deposit,22-05-2023,,,Mumbai,North,HDFC Bank,1032,722489,127639,53.12,2023,2023-05
300004,204923,Business,8566,1025,44937,Fixed Deposit,05-04-2023,52,Individual,Mumbai,West,HDFC Bank,1653,147907,80983,17.93,2023,2023-04
300005,208422,Business,99584,3685,31763,Fixed Deposit,02-03-2023,39,Individual,Mumbai,East,HDFC Bank,1750,391800,351826,95.84,2023,2023-03
300006,200086,Savings,88497,2343,26793,Recurring Deposit,23-10-2022,,Individual,Mumbai,North,HDFC Bank,1226,404512,314309,87.43,2022,2022-10
300007,204484,Savings,20803,1985,3709,Fixed Deposit,27-08-2022,63,Employee,Mumbai,South,HDFC Bank,1733,557998,338981,-27.19,2022,2022-08
300008,201643,Business,60911,5224.002813,45985,Recurring Deposit,04-02-2025,76,Business,Nashik,North,HDFC Bank,1893,,145030,52.7,2025,2025-02
300009,208910,Business,35489,3714,38111,Fixed Deposit,15-07-2024,22,Individual,Pune,South,HDFC Bank,1210,178363,164014,80.09,2024,2024-07
300010,204832,Savings,40289,3689,4968,Recurring Deposit,03-08-2022,44,Individual,Solapur,North,HDFC Bank,1865,391943,423188,-24.97,2022,2022-08
300011,202229,Savings,19167,3885,2633,Mutual Fund,23-09-2024,30,Individual,Nagpur,South,HDFC Bank,1389,273275,234513,48.59,2024,2024-09
300012,202469,Current,96671,997,9228,Recurring Deposit,05-01-2024,58,Employee,Kolhapur,East,HDFC Bank,1508,698309,159788,-48.47,2024,2024-01
300013,206596,Business,91612,3675,31008,Mutual Fund,09-05-2022,29,Employee,Kolhapur,South,HDFC Bank,1400,358287,117596,-41.69,2022,2022-05
300014,202248,Savings,79733,1516,24178,Mutual Fund,06-05-2022,59,Individual,Mumbai,East,HDFC Bank,1569,237225,129997,-43.11,2022,2022-05
300015,200582,Savings,17467,4788,22052,Recurring Deposit,13-08-2022,69,,Kolhapur,South,HDFC Bank,1676,211475,407180,66.32,2022,2022-08
300016,204119,Current,55313,1971,43970,Mutual Fund,23-02-2023,72,Business,Mumbai,South,HDFC Bank,1030,950410,483008,-2.32,2023,2023-02
300017,200872,Current,12532,2483,22133,Mutual Fund,17-03-2023,43,Individual,Solapur,South,HDFC Bank,1705,518066,490089,15.62,2023,2023-03
300018,202383,Savings,49658,3742,7727,Mutual Fund,14-05-2024,77,Individual,Nashik,East,HDFC Bank,1093,,37666,77.6,2024,2024-05
300019,208164,Business,9225,4927,10808,Fixed Deposit,11-10-2024,28,Individual,Mumbai,North,HDFC Bank,1393,744621,473731,30.71,2024,2024-10
300020,203721,Business,45900,6627.420213,44084,Fixed Deposit,01-05-2022,52,Business,Kolhapur,East,HDFC Bank,1375,120736,264483,41.46,2022,2022-05
300021,209684,Business,70335,361,47823,Recurring Deposit,08-08-2024,69,,Solapur,West,HDFC Bank,1325,331247,173187,-17.55,2024,2024-08
300022,207316,Current,20828,1570,18262,Recurring Deposit,23-01-2023,40,Employee,Pune,South,HDFC Bank,1024,453778,239635,23.83,2023,2023-01
300023,206897,Savings,54204,1310,4334,Fixed Deposit,24-12-2024,74,Business,Solapur,North,HDFC Bank,1902,708168,351350,45.72,2024,2024-12
300024,201094,Savings,65447,4938,2448,Recurring Deposit,14-03-2025,69,Individual,Kolhapur,North,HDFC Bank,1891,87666,482601,-10.57,2025,2025-03
300025,204007,Current,48288,3773,33365,Recurring Deposit,14-07-2024,66,Business,Nashik,East,HDFC Bank,1449,386804,216567,27.28,2024,2024-07
300026,204487,Business,21439,1041,29394,Fixed Deposit,01-01-2024,30,Employee,Nagpur,East,HDFC Bank,1098,570985,423464,19.57,2024,2024-01
300027,202295,Savings,49736,2393,34507,Fixed Deposit,26-02-2023,21,Individual,Mumbai,North,HDFC Bank,1742,378289,378540,69.64,2023,2023-02
300028,209320,Business,71788,4852,15429,Fixed Deposit,16-02-2024,33,Employee,Pune,West,HDFC Bank,1491,750710,103189,18.7,2024,2024-02
300029,205171,Savings,4032,4578,30881,Fixed Deposit,21-09-2024,61,Employee,Pune,East,HDFC Bank,1132,83336,335733,47.84,2024,2024-09
300030,202305,Current,38930,4105,8971,Mutual Fund,27-05-2023,34,Business,Solapur,West,HDFC Bank,1366,292711,497710,57.32,2023,2023-05
300031,205604,Current,70735,1857,28139,Fixed Deposit,31-03-2022,44,Individual,Mumbai,West,HDFC Bank,1652,511732,203606,83.42,2022,2022-03
300032,208597,Business,14328,2724,46384,Fixed Deposit,24-11-2022,74,Employee,Pune,West,HDFC Bank,1922,753235,485285,25.16,2022,2022-11
300033,201654,Current,81984,3532,1352,Fixed Deposit,09-03-2025,33,Business,Nashik,West,HDFC Bank,1452,643703,157044,68.94,2025,2025-03
300034,204981,Savings,98769,1413.42897,23073,Fixed Deposit,06-01-2024,56,Employee,Solapur,South,HDFC Bank,1638,870116,132502,83.12,2024,2024-01
300035,209779,Current,53909,3388,38051,Fixed Deposit,31-08-2023,19,Employee,Mumbai,East,HDFC Bank,1646,,27694,22.19,2023,2023-08
300036,206510,Business,56456,4819,30383,Mutual Fund,26-05-2023,68,Employee,Solapur,East,HDFC Bank,1338,518661,388470,99.64,2023,2023-05
300037,203773,Current,91948,1105,5686,Fixed Deposit,17-11-2022,70,Employee,Mumbai,North,HDFC Bank,1942,958979,428492,52.69,2022,2022-11
300038,204445,Savings,76305,2909,17613,Mutual Fund,18-02-2023,30,Employee,Pune,North,HDFC Bank,1909,346685,209951,-48.47,2023,2023-02
