Branch_ID,City,Region,Firm_Revenue,Expenses,Profit_Margin
1000,Solapur,East,422443,346471,56.31
1001,Mumbai,North,211155,216256,79.53
1002,Nashik,West,985006,71777,55.31
1003,Solapur,North,55113,253655,2.57
1004,Nagpur,West,282701,148194,-14.1
1005,Nagpur,East,657164,90729,11.57
1006,Kolhapur,North,96520,273124,19.48
1007,Kolhapur,West,427163,111053,-9.09
1008,Kolhapur,North,,59920,-5.94
1009,Nagpur,South,690932,44992,56.47
1010,Solapur,North,936640,226126,-18.9
1011,Nashik,East,257505,483161,65.12
1012,Nagpur,West,969777,347637,-11.4
1013,Pune,West,214437,52323,10.97
1014,Nagpur,North,370373,194199,-8.67
1015,Nagpur,East,494847,394802,73.24
1016,Nashik,North,366811,326818,9.12
1017,Nagpur,East,658552,280743,96.78
1018,Nagpur,East,938738,218097,40.11
1019,Nashik,West,112412,219553,-47.5
1020,Nagpur,South,928809,456732,72.27
1021,Solapur,North,718065,104070,53.39
1022,Pune,West,948252,264169,-11.58
1023,Solapur,North,141055,264179,-9.72
1024,Nagpur,South,453778,239635,23.83
1025,Pune,West,410506,347517,49.96
1026,Kolhapur,East,173491,197880,84.95
1027,Mumbai,East,405516,184621,-25.05
1028,Pune,West,301173,122217,-24.9
1029,Nashik,West,637247,235181,54.57
1030,Pune,East,950410,483008,-2.32
1031,Solapur,East,646023,117992,-15.94
1032,Nashik,North,722489,127639,53.12
1033,Solapur,West,936776,90418,-40.93
1034,Solapur,West,,131077,29.7
1035,Mumbai,West,590919,180788,46.09
1036,Nagpur,West,729537,225109,7.71
1037,Mumbai,West,260539,433554,-31.14
1038,Nagpur,East,572977,405006,1.39
1039,Kolhapur,North,286507,44379,14.69
1040,Solapur,East,560824,293054,-25.83
1041,Pune,South,382425,407970,23.26
1042,Nagpur,South,993460,488468,0.82
1043,Mumbai,East,601854,467555,85
1044,Nashik,South,878898,192703,-40.35
1045,Mumbai,East,743144,255822,50.49
1046,Solapur,West,977665,254418,58.29
1047,Solapur,East,655189,116716,41.34
1048,Mumbai,East,684533,334321,28.27
1049,Mumbai,North,100724,169264,-32.71
1050,Nashik,South,678204,179639,41.23
1051,Kolhapur,East,623150,83058,34.99
1052,Nagpur,North,992645,68947,86.92
1053,Solapur,West,829228,209502,80.83
1054,Nagpur,West,967410,419776,-46.92
1055,Solapur,North,999028,235173,97.69
1056,Solapur,West,104114,239317,34.82
1057,Mumbai,South,348753,320467,87.4
1058,Kolhapur,North,,179713,-27.61
1059,Mumbai,South,920571,191047,54.46
1060,Kolhapur,East,305241,220112,18.76
1061,Pune,South,668871,153491,-29.88
1062,Mumbai,West,299697,273050,-46.59
1063,Pune,South,802708,57795,-17.56
1064,Kolhapur,South,904204,219407,-47.49
1065,Solapur,East,738465,454834,39.67
1066,Nashik,East,123311,269341,-4.26
1067,Kolhapur,West,447272,419907,93.05
1068,Nagpur,North,94673,124746,44.89
1069,Nagpur,West,,279148,64.56
1070,Nashik,South,723055,20664,15.06
1071,Nashik,West,288740,497515,-9.92
1072,Kolhapur,North,831265,382396,65.1
1073,Mumbai,East,459580,198394,20.15
1074,Solapur,East,997286,218745,99.93
1075,Kolhapur,South,105973,493415,38.88
1076,Kolhapur,West,204710,300215,76.77
1077,Nagpur,West,985286,152371,-6.82
1078,Nashik,East,616031,473422,14.03
1079,Solapur,East,631559,213405,-13.91
1080,Kolhapur,West,714846,106483,66.31
1081,Nagpur,West,810727,234848,63.59
1082,Solapur,East,527491,129655,38.9
1083,Pune,East,590910,395017,59.66
1084,Nagpur,West,604344,406488,4.09
1085,Pune,North,301941,71479,81.71
1086,Kolhapur,West,744479,53750,88.35
1087,Solapur,West,640762,202204,49.6
1088,Mumbai,West,246436,57113,5.95
1089,Nashik,East,658793,482561,76.27
1090,Pune,North,629001,345832,97.09
1091,Mumbai,South,307324,81535,36.85
1092,Nagpur,East,,493705,48.98
1093,Nashik,North,,37666,77.6
1094,Solapur,South,837097,140421,50.9
1095,Kolhapur,South,929599,259456,-20.48
1096,Nashik,North,285747,164076,13.47
1097,Mumbai,East,68882,111621,41.81
1098,Mumbai,West,570985,423464,19.57
1099,Nagpur,North,714838,177696,51.99
1100,Solapur,West,860774,342060,-7.77
1101,Nagpur,East,866744,147716,-26.19
1102,Kolhapur,East,449250,305716,-45.74
1103,Solapur,East,941020,22378,-44.16
1104,Kolhapur,South,658214,119660,3.51
1105,Kolhapur,East,,336150,-46.74
1106,Nagpur,South,645333,497857,-9.25
1107,Nashik,South,553367,463072,27.01
1108,Solapur,West,77365,358228,61.62
1109,Solapur,South,227115,86628,38.34
1110,Solapur,South,993451,431239,30.19
1111,Nagpur,East,702367,190514,-13.68
1112,Kolhapur,South,474820,431359,-47.64
1113,Nagpur,East,963430,275162,-30.54
1114,Kolhapur,East,842893,204196,97.27
1115,Nagpur,South,785942,164003,89.17
1116,Mumbai,West,798102,315359,-3.33
1117,Nashik,South,286476,326419,-1.85
1118,Nagpur,West,204248,208385,83.7
1119,Nashik,West,772777,279646,-38.22
1120,Pune,West,715070,105057,-24.29
1121,Nagpur,North,163874,355418,-32.31
1122,Solapur,North,443946,415587,80.64
1123,Solapur,South,398968,482742,-49.01
1124,Pune,East,657564,131822,-47.83
1125,Kolhapur,South,882724,350146,72.08
1126,Nagpur,East,205625,485899,45.54
1127,Solapur,North,501483,122453,34.48
1128,Solapur,East,921550,214020,88.43
1129,Kolhapur,West,788503,443105,22.51
1130,Pune,West,595312,349564,20.03
1131,Solapur,South,,242669,13.12
1132,Kolhapur,West,83336,335733,47.84
1133,Nashik,West,969558,77022,-1.52
1134,Kolhapur,South,657173,370102,50.26
1135,Nashik,South,175873,20946,55.55
1136,Mumbai,East,239263,53815,-18.28
1137,Mumbai,South,263055,210483,39.24
1138,Kolhapur,South,635281,333629,59.02
1139,Nagpur,South,245288,162674,94.18
1140,Mumbai,North,755330,90594,90.84
1141,Solapur,South,83554,441985,-19.24
1142,Kolhapur,South,152963,85291,36.59
1143,Solapur,East,469428,399652,20.4
1144,Nagpur,East,252494,434330,2.39
1145,Mumbai,South,957204,352462,1.32
1146,Mumbai,South,775818,473126,95.64
1147,Solapur,West,665993,380428,-44.51
1148,Nashik,North,146659,374894,77.88
1149,Mumbai,West,272071,108121,18.02
1150,Pune,East,972742,142072,35
1151,Solapur,North,931870,417137,60.89
