Customer_ID,Age,Customer_Type,City,Region,Bank_Name,Branch_ID
200000,56,Employee,Pune,North,HDFC Bank,1350
200001,69,,Kolhapur,East,HDFC Bank,1648
200002,46,Business,Pune,West,HDFC Bank,1798
200003,32,Individual,Pune,West,HDFC Bank,1900
200004,,Business,Kolhapur,East,HDFC Bank,1227
200005,25,Business,Pune,North,HDFC Bank,1015
200006,78,Business,Kolhapur,North,HDFC Bank,1809
200007,38,Business,Pune,North,HDFC Bank,1424
200008,56,Business,Solapur,West,HDFC Bank,1463
200009,75,Individual,Mumbai,South,HDFC Bank,1723
200010,36,Individual,Kolhapur,West,HDFC Bank,1245
200011,40,Business,Pune,East,HDFC Bank,1797
200012,28,Individual,Solapur,North,HDFC Bank,1793
200013,28,Individual,Mumbai,South,HDFC Bank,1176
200014,41,Employee,,North,HDFC Bank,1542
200015,70,Business,Mumbai,West,HDFC Bank,1508
200016,53,Individual,Kolhapur,South,HDFC Bank,1561
200017,57,Individual,Mumbai,South,HDFC Bank,1654
200018,41,Business,Nagpur,West,HDFC Bank,1563
200019,20,Employee,,North,HDFC Bank,1232
200020,39,Business,Nagpur,North,HDFC Bank,1677
200021,70,Employee,Kolhapur,North,HDFC Bank,1037
200022,19,Business,Kolhapur,West,HDFC Bank,1490
200023,41,Business,Mumbai,East,HDFC Bank,1443
200024,61,Business,Solapur,East,HDFC Bank,1019
200025,47,Business,Pune,North,HDFC Bank,1610
200026,55,Employee,Nashik,South,HDFC Bank,1726
200027,19,Employee,Pune,East,HDFC Bank,1555
200028,77,,Solapur,North,HDFC Bank,1110
200029,38,Business,Kolhapur,East,HDFC Bank,1486
200030,50,Employee,,North,HDFC Bank,1088
200031,29,Employee,Nagpur,East,HDFC Bank,1318
200032,75,Employee,Kolhapur,East,HDFC Bank,1117
200033,39,Business,Kolhapur,South,HDFC Bank,1433
200034,78,Individual,Mumbai,South,HDFC Bank,1917
200035,61,Employee,Solapur,East,HDFC Bank,1238
200036,42,Business,Mumbai,North,HDFC Bank,1071
200037,66,Employee,Mumbai,South,HDFC Bank,1821
200038,44,Employee,Pune,West,HDFC Bank,1904
200039,76,Individual,,South,HDFC Bank,1398
200040,59,Employee,Solapur,East,HDFC Bank,1815
200041,45,Employee,Mumbai,East,HDFC Bank,1403
200042,77,Business,Nagpur,West,HDFC Bank,1674
200043,33,Business,Nashik,South,HDFC Bank,1250
200044,32,Individual,Solapur,East,HDFC Bank,1868
200045,79,Business,Pune,West,HDFC Bank,1194
200046,79,Business,Solapur,West,HDFC Bank,1571
200047,64,Individual,Kolhapur,North,HDFC Bank,1609
200048,79,Employee,Pune,South,HDFC Bank,1929
200049,68,Individual,Nashik,South,HDFC Bank,1867
200050,61,Business,Nagpur,South,HDFC Bank,1866
200051,72,Individual,Mumbai,East,HDFC Bank,1584
200052,69,Employee,Solapur,West,HDFC Bank,1221
200053,74,Individual,Pune,North,HDFC Bank,1630
200054,20,Business,Nashik,South,HDFC Bank,1181
200055,54,Business,Mumbai,North,HDFC Bank,1895
200056,68,Individual,Nashik,North,HDFC Bank,1729
200057,,Employee,Nagpur,West,HDFC Bank,1255
200058,38,Individual,Mumbai,South,HDFC Bank,1907
200059,26,Employee,Mumbai,North,HDFC Bank,1087
200060,,Employee,Mumbai,South,HDFC Bank,1872
200061,35,Individual,Pune,South,HDFC Bank,1786
200062,21,Employee,Mumbai,South,HDFC Bank,1491
200063,42,Business,Nashik,North,HDFC Bank,1335
200064,77,Individual,Pune,West,HDFC Bank,1537
200065,31,Employee,Mumbai,West,HDFC Bank,1406
200066,67,Business,Nashik,North,HDFC Bank,1632
200067,75,Individual,Nashik,East,HDFC Bank,1288
200068,26,Business,Solapur,South,HDFC Bank,1361
200069,43,Business,Nashik,South,HDFC Bank,1440
200070,70,Business,Kolhapur,West,HDFC Bank,1029
200071,19,Employee,,North,HDFC Bank,1918
200072,37,Individual,Mumbai,North,HDFC Bank,1713
200073,45,Individual,,East,HDFC Bank,1893
200074,64,Employee,Mumbai,East,HDFC Bank,1547
200075,77,,,West,HDFC Bank,1636
200076,24,Business,Nashik,East,HDFC Bank,1222
200077,61,Individual,Mumbai,East,HDFC Bank,1746
200078,78,Employee,Kolhapur,North,HDFC Bank,1123
200079,25,Business,Pune,North,HDFC Bank,1981
200080,64,Employee,Pune,East,HDFC Bank,1682
200081,52,Business,Nagpur,West,HDFC Bank,1997
200082,31,Business,Solapur,East,HDFC Bank,1961
200083,,Individual,Nagpur,West,HDFC Bank,1692
200084,53,Business,Mumbai,East,HDFC Bank,1214
200085,67,Employee,Mumbai,North,HDFC Bank,1117
200086,,Individual,Mumbai,North,HDFC Bank,1226
200087,21,Employee,Solapur,West,HDFC Bank,1890
200088,19,Business,,East,HDFC Bank,1443
200089,79,Employee,Solapur,East,HDFC Bank,1548
200090,23,,,West,HDFC Bank,1828
200091,71,Business,Nashik,East,HDFC Bank,1607
200092,59,Individual,,South,HDFC Bank,1631
200093,21,Employee,Nagpur,North,HDFC Bank,1436
200094,71,Business,Nashik,North,HDFC Bank,1011
200095,46,Individual,Pune,West,HDFC Bank,1121
200096,35,Individual,Nagpur,East,HDFC Bank,1546
200097,43,Individual,Nagpur,West,HDFC Bank,1488
200098,61,Employee,Pune,South,HDFC Bank,1250
200099,51,Employee,Solapur,East,HDFC Bank,1578
200100,27,Employee,Solapur,South,HDFC Bank,1481
200101,79,Individual,,West,HDFC Bank,1549
200102,53,Employee,Nashik,North,HDFC Bank,1279
200103,31,Business,Pune,South,HDFC Bank,1741
200104,48,Employee,Nagpur,East,HDFC Bank,1336
200105,65,,Nagpur,West,HDFC Bank,1167
200106,32,Individual,Nagpur,West,HDFC Bank,1960
200107,25,Employee,Nashik,West,HDFC Bank,1952
200108,31,,Nashik,North,HDFC Bank,1327
200109,40,Individual,Kolhapur,West,HDFC Bank,1245
200110,77,Business,Solapur,West,HDFC Bank,1590
200111,74,Individual,Kolhapur,North,HDFC Bank,1625
200112,79,Individual,Kolhapur,West,HDFC Bank,1300
200113,57,Employee,Nashik,West,HDFC Bank,1728
200114,38,Business,Solapur,South,HDFC Bank,1199
200115,33,Individual,Solapur,West,HDFC Bank,1892
200116,62,Employee,Nagpur,North,HDFC Bank,1499
200117,35,Individual,Nashik,South,HDFC Bank,1863
200118,64,Individual,Solapur,West,HDFC Bank,1753
200119,70,Individual,Kolhapur,North,HDFC Bank,1012
200120,41,Individual,Pune,East,HDFC Bank,1365
200121,43,Individual,Pune,West,HDFC Bank,1718
200122,,Individual,Nashik,East,HDFC Bank,1773
200123,77,Employee,Nagpur,South,HDFC Bank,1096
200124,77,Individual,Nagpur,North,HDFC Bank,1070
200125,77,Business,Solapur,South,HDFC Bank,1992
