Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date
300000,209689,Business,69339,4794,42580,Fixed Deposit,08-12-2024
300001,206124,Business,12825,3500,46605,Fixed Deposit,09-09-2022
300002,207501,Current,67753,2401,17027,Fixed Deposit,28-04-2022
300003,208675,Savings,67061,2952,3054,Fixed Deposit,22-05-2023
300004,204923,Business,8566,1025,44937,Fixed Deposit,05-04-2023
300005,208422,Business,99584,3685,31763,Fixed Deposit,02-03-2023
300006,200086,Savings,88497,2343,26793,Recurring Deposit,23-10-2022
300007,204484,Savings,20803,1985,3709,Fixed Deposit,27-08-2022
300008,201643,Business,60911,5224.002813,45985,Recurring Deposit,04-02-2025
300009,208910,Business,35489,3714,38111,Fixed Deposit,15-07-2024
300010,204832,Savings,40289,3689,4968,Recurring Deposit,03-08-2022
300011,202229,Savings,19167,3885,2633,Mutual Fund,23-09-2024
300012,202469,Current,96671,997,9228,Recurring Deposit,05-01-2024
300013,206596,Business,91612,3675,31008,Mutual Fund,09-05-2022
300014,202248,Savings,79733,1516,24178,Mutual Fund,06-05-2022
300015,200582,Savings,17467,4788,22052,Recurring Deposit,13-08-2022
300016,204119,Current,55313,1971,43970,Mutual Fund,23-02-2023
300017,200872,Current,12532,2483,22133,Mutual Fund,17-03-2023
300018,202383,Savings,49658,3742,7727,Mutual Fund,14-05-2024
300019,208164,Business,9225,4927,10808,Fixed Deposit,11-10-2024
300020,203721,Business,45900,6627.420213,44084,Fixed Deposit,01-05-2022
300021,209684,Business,70335,361,47823,Recurring Deposit,08-08-2024
300022,207316,Current,20828,1570,18262,Recurring Deposit,23-01-2023
300023,206897,Savings,54204,1310,4334,Fixed Deposit,24-12-2024
300024,201094,Savings,65447,4938,2448,Recurring Deposit,14-03-2025
300025,204007,Current,48288,3773,33365,Recurring Deposit,14-07-2024
300026,204487,Business,21439,1041,29394,Fixed Deposit,01-01-2024
300027,202295,Savings,49736,2393,34507,Fixed Deposit,26-02-2023
300028,209320,Business,71788,4852,15429,Fixed Deposit,16-02-2024
300029,205171,Savings,4032,4578,30881,Fixed Deposit,21-09-2024
300030,202305,Current,38930,4105,8971,Mutual Fund,27-05-2023
300031,205604,Current,70735,1857,28139,Fixed Deposit,31-03-2022
300032,208597,Business,14328,2724,46384,Fixed Deposit,24-11-2022
300033,201654,Current,81984,3532,1352,Fixed Deposit,09-03-2025
300034,204981,Savings,98769,1413.42897,23073,Fixed Deposit,06-01-2024
300035,209779,Current,53909,3388,38051,Fixed Deposit,31-08-2023
300036,206510,Business,56456,4819,30383,Mutual Fund,26-05-2023
300037,203773,Current,91948,1105,5686,Fixed Deposit,17-11-2022
300038,204445,Savings,76305,2909,17613,Mutual Fund,18-02-2023
300039,206769,Current,24438,1210,48004,Mutual Fund,25-08-2023
300040,207873,Savings,23464,389,1320,Mutual Fund,26-08-2022
300041,202102,Business,86047,1011,19917,Recurring Deposit,12-08-2022
300042,203852,Savings,28306,1480,46133,Mutual Fund,01-11-2023
300043,208987,Current,29241,1747,47535,Fixed Deposit,18-08-2022
300044,202904,Current,6313,4136,40430,Fixed Deposit,29-09-2023
300045,201453,Business,41400,3924,29495,Recurring Deposit,06-09-2023
300046,209070,Current,74796,4109,25768,Fixed Deposit,13-10-2024
300047,208578,Business,60021,1391,16081,Mutual Fund,05-05-2023
300048,202434,Business,11536,3112,7987,Mutual Fund,27-05-2022
300049,209372,Savings,20642,1722,1808,Mutual Fund,03-03-2024
300050,204519,Current,27673,4779,12849,Mutual Fund,01-07-2024
