Branch_ID,City,Region,Customers,Transactions,Transaction_Value,Investment_Value,Firm_Revenue,Expenses,Profit_Margin
1000,Kolhapur,East,1,1,4676.0,11260,422443.0,346471,56.31
1000,Nashik,West,1,4,9141.0,55352,422443.0,346471,56.31
1000,Solapur,North,1,2,4578.0,23062,422443.0,346471,56.31
1000,Solapur,South,1,1,1121.0,27750,422443.0,346471,56.31
1001,Kolhapur,South,1,1,3268.0,28203,211155.0,216256,79.53
1001,Nashik,East,1,2,4811.0,49109,211155.0,216256,79.53
1001,Solapur,North,1,1,4789.0,49276,211155.0,216256,79.53
1001,Solapur,West,1,1,1478.0,3639,211155.0,216256,79.53
1002,Kolhapur,East,1,1,2180.0,31261,985006.0,71777,55.31
1002,Mumbai,South,1,1,2507.0,21152,985006.0,71777,55.31
1002,Pune,West,2,4,8101.451784,91889,985006.0,71777,55.31
1003,Kolhapur,East,1,1,512.0,14743,55113.0,253655,2.57
1003,Kolhapur,West,1,1,161.0,19748,55113.0,253655,2.57
1003,Nagpur,West,1,1,1524.0,22280,55113.0,253655,2.57
1004,Kolhapur,South,2,3,5658.0,61322,282701.0,148194,-14.1
1004,Mumbai,South,1,2,3188.0,42522,282701.0,148194,-14.1
1004,Nagpur,West,1,2,2358.0,42052,282701.0,148194,-14.1
1004,Nashik,North,1,1,1676.0,16990,282701.0,148194,-14.1
1004,Pune,East,2,5,16194.0,175774,282701.0,148194,-14.1
1004,Pune,South,1,4,7967.0,163312,282701.0,148194,-14.1
1004,Solapur,South,2,3,9969.0,75235,282701.0,148194,-14.1
1004,Solapur,West,1,1,2445.0,6088,282701.0,148194,-14.1
1005,Kolhapur,West,1,1,4066.0,31519,657164.0,90729,11.57
1005,Mumbai,East,2,2,2004.0,77699,657164.0,90729,11.57
1005,Nagpur,North,1,1,1482.0,13345,657164.0,90729,11.57
1005,Pune,North,1,1,3744.0,12997,657164.0,90729,11.57
1005,Solapur,North,2,4,14506.0,115179,657164.0,90729,11.57
1005,Solapur,South,1,2,3159.0,82130,657164.0,90729,11.57
1006,Kolhapur,West,1,2,6579.0,30832,96520.0,273124,19.48
1006,Mumbai,East,1,2,4829.8724528,40945,96520.0,273124,19.48
1006,Mumbai,North,3,4,13769.0,72918,96520.0,273124,19.48
1006,Nagpur,West,1,1,1120.0,13063,96520.0,273124,19.48
