Dataset,Record_ID,Field,Issue,Severity,Status
Branch,1008,Firm_Revenue,Missing revenue,High,Review
Branch,1034,Firm_Revenue,Missing revenue,High,Review
Branch,1058,Firm_Revenue,Missing revenue,High,Review
Branch,1069,Firm_Revenue,Missing revenue,High,Review
Branch,1092,Firm_Revenue,Missing revenue,High,Review
Branch,1093,Firm_Revenue,Missing revenue,High,Review
Branch,1105,Firm_Revenue,Missing revenue,High,Review
Branch,1131,Firm_Revenue,Missing revenue,High,Review
Branch,1157,Firm_Revenue,Missing revenue,High,Review
Branch,1176,Firm_Revenue,Missing revenue,High,Review
Branch,1181,Firm_Revenue,Missing revenue,High,Review
Branch,1200,Firm_Revenue,Missing revenue,High,Review
Branch,1209,Firm_Revenue,Missing revenue,High,Review
Branch,1221,Firm_Revenue,Missing revenue,High,Review
Branch,1248,Firm_Revenue,Missing revenue,High,Review
Branch,1285,Firm_Revenue,Missing revenue,High,Review
Branch,1292,Firm_Revenue,Missing revenue,High,Review
Branch,1298,Firm_Revenue,Missing revenue,High,Review
Branch,1344,Firm_Revenue,Missing revenue,High,Review
Branch,1348,Firm_Revenue,Missing revenue,High,Review
Branch,1352,Firm_Revenue,Missing revenue,High,Review
Branch,1402,Firm_Revenue,Missing revenue,High,Review
Branch,1406,Firm_Revenue,Missing revenue,High,Review
Branch,1437,Firm_Revenue,Missing revenue,High,Review
Branch,1514,Firm_Revenue,Missing revenue,High,Review
Branch,1546,Firm_Revenue,Missing revenue,High,Review
Branch,1610,Firm_Revenue,Missing revenue,High,Review
Branch,1646,Firm_Revenue,Missing revenue,High,Review
Branch,1661,Firm_Revenue,Missing revenue,High,Review
Branch,1669,Firm_Revenue,Missing revenue,High,Review
Branch,1706,Firm_Revenue,Missing revenue,High,Review
Branch,1710,Firm_Revenue,Missing revenue,High,Review
Branch,1724,Firm_Revenue,Missing revenue,High,Review
Branch,1734,Firm_Revenue,Missing revenue,High,Review
Branch,1737,Firm_Revenue,Missing revenue,High,Review
Branch,1763,Firm_Revenue,Missing revenue,High,Review
Branch,1781,Firm_Revenue,Missing revenue,High,Review
Branch,1837,Firm_Revenue,Missing revenue,High,Review
Branch,1848,Firm_Revenue,Missing revenue,High,Review
Branch,1885,Firm_Revenue,Missing revenue,High,Review
Branch,1886,Firm_Revenue,Missing revenue,High,Review
Branch,1893,Firm_Revenue,Missing revenue,High,Review
Branch,1900,Firm_Revenue,Missing revenue,High,Review
Branch,1904,Firm_Revenue,Missing revenue,High,Review
Branch,1906,Firm_Revenue,Missing revenue,High,Review
Branch,1913,Firm_Revenue,Missing revenue,High,Review
Branch,1919,Firm_Revenue,Missing revenue,High,Review
Branch,1946,Firm_Revenue,Missing revenue,High,Review
Branch,1954,Firm_Revenue,Missing revenue,High,Review
Branch,1970,Firm_Revenue,Missing revenue,High,Review
Customer,200004,Age,Missing age,Medium,Review
Customer,200057,Age,Missing age,Medium,Review
Customer,200060,Age,Missing age,Medium,Review
Customer,200083,Age,Missing age,Medium,Review
Customer,200086,Age,Missing age,Medium,Review
Customer,200122,Age,Missing age,Medium,Review
Customer,200147,Age,Missing age,Medium,Review
Customer,200162,Age,Missing age,Medium,Review
Customer,200188,Age,Missing age,Medium,Review
Customer,200199,Age,Missing age,Medium,Review
Customer,200223,Age,Missing age,Medium,Review
Customer,200224,Age,Missing age,Medium,Review
Customer,200268,Age,Missing age,Medium,Review
Customer,200288,Age,Missing age,Medium,Review
Customer,200328,Age,Missing age,Medium,Review
Customer,200338,Age,Missing age,Medium,Review
Customer,200374,Age,Missing age,Medium,Review
Customer,200432,Age,Missing age,Medium,Review
Customer,200508,Age,Missing age,Medium,Review
Customer,200530,Age,Missing age,Medium,Review
Customer,200552,Age,Missing age,Medium,Review
Customer,200565,Age,Missing age,Medium,Review
Customer,200566,Age,Missing age,Medium,Review
Customer,200590,Age,Missing age,Medium,Review
Customer,200596,Age,Missing age,Medium,Review
Customer,200605,Age,Missing age,Medium,Review
Customer,200607,Age,Missing age,Medium,Review
Customer,200628,Age,Missing age,Medium,Review
Customer,200662,Age,Missing age,Medium,Review
Customer,200674,Age,Missing age,Medium,Review
Customer,200752,Age,Missing age,Medium,Review
Customer,200794,Age,Missing age,Medium,Review
Customer,200795,Age,Missing age,Medium,Review
Customer,200799,Age,Missing age,Medium,Review
Customer,200831,Age,Missing age,Medium,Review
Customer,200850,Age,Missing age,Medium,Review
Customer,200852,Age,Missing age,Medium,Review
Customer,200858,Age,Missing age,Medium,Review
Customer,200871,Age,Missing age,Medium,Review
Customer,200879,Age,Missing age,Medium,Review
Customer,200927,Age,Missing age,Medium,Review
Customer,200974,Age,Missing age,Medium,Review
Customer,200976,Age,Missing age,Medium,Review
Customer,200983,Age,Missing age,Medium,Review
Customer,200986,Age,Missing age,Medium,Review
Customer,201002,Age,Missing age,Medium,Review
Customer,201003,Age,Missing age,Medium,Review
Customer,201059,Age,Missing age,Medium,Review
Customer,201065,Age,Missing age,Medium,Review
Customer,201101,Age,Missing age,Medium,Review
Customer,201105,Age,Missing age,Medium,Review
Customer,201114,Age,Missing age,Medium,Review
Customer,201149,Age,Missing age,Medium,Review
Customer,201150,Age,Missing age,Medium,Review
Customer,201151,Age,Missing age,Medium,Review
Customer,201163,Age,Missing age,Medium,Review
Customer,201171,Age,Missing age,Medium,Review
Customer,201179,Age,Missing age,Medium,Review
Customer,201196,Age,Missing age,Medium,Review
Customer,201232,Age,Missing age,Medium,Review
Customer,201260,Age,Missing age,Medium,Review
Customer,201267,Age,Missing age,Medium,Review
Customer,201274,Age,Missing age,Medium,Review
Customer,201276,Age,Missing age,Medium,Review
Customer,201309,Age,Missing age,Medium,Review
Customer,201316,Age,Missing age,Medium,Review
Customer,201336,Age,Missing age,Medium,Review
Customer,201355,Age,Missing age,Medium,Review
Customer,201361,Age,Missing age,Medium,Review
Customer,201367,Age,Missing age,Medium,Review
Customer,201373,Age,Missing age,Medium,Review
Customer,201406,Age,Missing age,Medium,Review
Customer,201422,Age,Missing age,Medium,Review
Customer,201438,Age,Missing age,Medium,Review
Customer,201469,Age,Missing age,Medium,Review
Customer,201496,Age,Missing age,Medium,Review
Customer,201527,Age,Missing age,Medium,Review
Customer,201568,Age,Missing age,Medium,Review
Customer,201587,Age,Missing age,Medium,Review
Customer,201592,Age,Missing age,Medium,Review
Customer,201599,Age,Missing age,Medium,Review
Customer,201626,Age,Missing age,Medium,Review
Customer,201642,Age,Missing age,Medium,Review
Customer,201648,Age,Missing age,Medium,Review
Customer,201679,Age,Missing age,Medium,Review
Customer,201694,Age,Missing age,Medium,Review
Customer,201710,Age,Missing age,Medium,Review
Customer,201729,Age,Missing age,Medium,Review
Customer,201815,Age,Missing age,Medium,Review
Customer,201822,Age,Missing age,Medium,Review
Customer,201845,Age,Missing age,Medium,Review
Customer,201902,Age,Missing age,Medium,Review
Customer,201910,Age,Missing age,Medium,Review
Customer,201916,Age,Missing age,Medium,Review
Customer,201917,Age,Missing age,Medium,Review
Customer,201921,Age,Missing age,Medium,Review
Customer,201932,Age,Missing age,Medium,Review
Customer,201970,Age,Missing age,Medium,Review
Customer,202004,Age,Missing age,Medium,Review
Customer,202021,Age,Missing age,Medium,Review
Customer,202042,Age,Missing age,Medium,Review
Customer,202108,Age,Missing age,Medium,Review
Customer,202115,Age,Missing age,Medium,Review
Customer,202116,Age,Missing age,Medium,Review
Customer,202118,Age,Missing age,Medium,Review
Customer,202127,Age,Missing age,Medium,Review
Customer,202148,Age,Missing age,Medium,Review
Customer,202149,Age,Missing age,Medium,Review
Customer,202214,Age,Missing age,Medium,Review
Customer,202219,Age,Missing age,Medium,Review
Customer,202246,Age,Missing age,Medium,Review
Customer,202271,Age,Missing age,Medium,Review
Customer,202273,Age,Missing age,Medium,Review
Customer,202309,Age,Missing age,Medium,Review
Customer,202311,Age,Missing age,Medium,Review
Customer,202318,Age,Missing age,Medium,Review
Customer,202336,Age,Missing age,Medium,Review
Customer,202345,Age,Missing age,Medium,Review
Customer,202349,Age,Missing age,Medium,Review
Customer,202352,Age,Missing age,Medium,Review
Customer,202400,Age,Missing age,Medium,Review
Customer,202408,Age,Missing age,Medium,Review
Customer,202459,Age,Missing age,Medium,Review
Customer,202493,Age,Missing age,Medium,Review
Customer,202508,Age,Missing age,Medium,Review
Customer,202516,Age,Missing age,Medium,Review
Customer,202522,Age,Missing age,Medium,Review
Customer,202525,Age,Missing age,Medium,Review
Customer,202531,Age,Missing age,Medium,Review
Customer,202559,Age,Missing age,Medium,Review
Customer,202596,Age,Missing age,Medium,Review
Customer,202599,Age,Missing age,Medium,Review
Customer,202657,Age,Missing age,Medium,Review
Customer,202667,Age,Missing age,Medium,Review
Customer,202684,Age,Missing age,Medium,Review
Customer,202706,Age,Missing age,Medium,Review
Customer,202734,Age,Missing age,Medium,Review
Customer,202741,Age,Missing age,Medium,Review
Customer,202748,Age,Missing age,Medium,Review
Customer,202780,Age,Missing age,Medium,Review
Customer,202803,Age,Missing age,Medium,Review
Customer,202804,Age,Missing age,Medium,Review
Customer,202810,Age,Missing age,Medium,Review
