Month,Transactions,Transaction_Value,Investment_Value
2022-03,83,214246.4288171,2197791
2022-04,236,605033.213451,6340263
2022-05,278,688016.9632939,7417086
2022-06,259,663309.8577959,6665087
2022-07,278,707491.0359525,7132361
2022-08,298,721595.729965,7510342
2022-09,288,731029.6818657,6630743
2022-10,291,728442.6618443,7536003
2022-11,289,697045.2791107,7533838
2022-12,272,695057.2413614,6920821
2023-01,256,621900.3582087,6853936
2023-02,230,572153.7649091,6085645
2023-03,270,689117.0643592,6861952
2023-04,252,651523.5013752,6017463
2023-05,273,653954.64813319,6742565
2023-06,286,732653.59800345,7263388
2023-07,291,761177.7456794,7193173
2023-08,276,704385.203945,7200313
2023-09,251,637325.1027786,6420631
2023-10,281,734570.85744661,7005575
2023-11,281,710255.8375371,7162099
2023-12,286,770561.2860577,7082794
2024-01,272,707711.5454381,6842249
2024-02,289,752408.14941158,7364053
2024-03,289,744535.5004587,7621837
2024-04,277,721232.6865202,7011323
2024-05,274,684293.1154565,7068891
2024-06,269,685619.0068234,7113905
2024-07,292,783051.3557934,7388653
2024-08,304,817073.4297002,7325472
2024-09,271,676812.0335158,7367581
2024-10,282,741728.3404642,7598924
2024-11,267,682186.14589331,6915731
2024-12,302,767991.0035274,7311029
2025-01,312,758595.1340839,8146417
2025-02,285,689541.9527862,6972130
2025-03,210,523454.0996304,5680420
